human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.4493,0.5674,0.615,0.7349,0.736,0.7447,0.6698,0.8192,0.6354
0.4493,0.5674,0.6133,0.7323,0.7314,0.7581,0.674,0.8125,0.6504
0.4493,0.5674,0.6211,0.7244,0.7258,0.7544,0.6757,0.8506,0.6506
0.4493,0.5674,0.6146,0.7247,0.7243,0.7445,0.6661,0.8197,0.6441
0.4493,0.5674,0.6118,0.7346,0.7361,0.7547,0.6743,0.8141,0.6322
0.4493,0.5674,0.6179,0.7251,0.7271,0.7458,0.6635,0.8206,0.6393
0.4493,0.5674,0.6126,0.7302,0.7339,0.7554,0.6763,0.8532,0.6678
0.4493,0.5674,0.6224,0.7368,0.7387,0.7537,0.6804,0.8693,0.681
0.4493,0.5674,0.6192,0.7312,0.733,0.7464,0.6631,0.8113,0.6605
0.4493,0.5674,0.607,0.7368,0.7393,0.748,0.6646,0.8638,0.655
